T0+8,AOÛT,GROSS.-M4,GROSSISSEMENT-MOULES,GM4,,,8,,,1 M,128,"7,8","645,7",90%,43%,"5,1","9,1","0,000","10,1","18,2","0,000",
T0+9,SEPT,GROSS.-M5,GROSSISSEMENT-MOULES,GM5,,,9,,,1 M,114,"8,8","581,1",90%,39%,"5,1","9,2","0,000","10,2","18,3","0,000",
T0+10,OCT,GROSS.-M6,GROSSISSEMENT-MOULES,GM6,,,10,,,1 M,103,"9,7","523,0",90%,35%,"5,1","9,1","0,000","10,1","18,2","0,000",
T0+11,NOV,GROSS.-M7,GROSSISSEMENT-MOULES,GM7,,,11,,,1 M,94,"10,6","470,7",90%,31%,"5,0","9,0","0,000","10,0","18,0","0,000",
T0+12,DÉC,GROSS.-M8,GROSSISSEMENT-MOULES,GM8,,,12,,,1 M,87,"11,5","423,6",90%,28%,"4,9","8,8","0,000","9,8","17,6","0,000",
T0+13,JANV,GROSS.-M9,GROSSISSEMENT-MOULES,GM9,,,13,,,1 M,80,"12,5","381,3",90%,25%,"4,7","8,5","0,000","9,5","17,1","0,000",
T0+14,FÉVR,GROSS.-M10,GROSSISSEMENT-MOULES,GM10,,,14,,,1 M,75,"13,4","343,2",90%,23%,"4,6","8,3","0,000","9,2","16,5","0,000",
T0+15,MARS,COM -  MS1,MOULES COMMERCIALES,MS +1,,,15,,MOULE SUPER,1 M,70,"14,3","308,8",90%,21%,"4,4","7,9","0,000","8,8","15,9","0,000",
T0+16,AVR,COM -  MS2,MOULES COMMERCIALES,MS +2,,,16,,MOULE SUPER,1 M,60,"16,7","278,0",90%,19%,"4,6","8,4","0,000","9,3","16,7","0,000",
T0+17,MAI,COM -  MS3,MOULES COMMERCIALES,MS +3,,,17,,MOULE SUPER,1 M,50,"20,0","250,2",90%,17%,"5,0","9,0","0,000","10,0","18,0","0,000",
T0+18,JUIN,COM- ME1,MOULES COMMERCIALES,ME+1,,,18,,MOULE EXTRA,1 M,40,"25,0","225,1",90%,15%,"5,6","10,1","0,000","11,3","20,3","0,000",
T0+19,JUIL,COM- ME2,MOULES COMMERCIALES,ME+2,,,19,,MOULE EXTRA,1 M,35,"28,6","202,6",90%,14%,"5,8","10,4","0,000","11,6","20,9","0,000",
T0+20,AOÛT,COM- ME3,MOULES COMMERCIALES,ME+3,,,20,,MOULE EXTRA,1 M,30,"33,3","182,4",90%,12%,"6,1","10,9","0,000","12,1","21,9","0,000",
T0+21,SEPT,COM-MR1,MOULES COMMERCIALES,MR+1,,,21,,MOULE ROYALE,1 M,25,"40,0","164,1",90%,11%,"6,6","11,8","0,000","13,1","23,6","0,000",
T0+22,OCT,COM-MR2,MOULES COMMERCIALES,MR+2,,,22,,MOULE ROYALE,1 M,20,"50,0","147,7",90%,10%,"7,4","13,3","0,000","14,8","26,6","0,000",
T0+23,NOV,COM-MR3,MOULES COMMERCIALES,MR+3+,,,23,,MOULE ROYALE,1 M,15,"66,7","132,9",90%,9%,"8,9","16,0","0,000","17,7","31,9","0,000",
,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,survie ,,,,,,,,,,
lien BD logiciel ASC,,https://municipaliternumerique.com/,,,,,,,,,,,,,,,,,,,,
